id	text	label
test_0001	 Sau khi xài được khoảng 2 tháng tôi rất hài lòng với sản phẩm máy nước nóng trực tiếp này. Trong tương lai tôi sẽ mua các sản phẩm khác nữa của Tiki.Cám ơn 	0
test_0002	 sản phẩm nguyên seal, rất tốt. 	0
test_0003	 Sản phẩm giá rẻ hơn thị trường khác, chất lượng hình ảnh tốt, bảo hành cao hơn các hãng khác là thêm 12 tháng (BH 36 tháng), ship hàng nhanh. 	0
test_0004	 Đặt mua ngày CN thứ 2 kỹ thuật đã liên hệ lắp đặt, giá vật tư đúng với giá niêm yết. Anh kỹ thuật tên thạnh rất nhiệt tình chu đáo. Vật tư hết 900k nữa là OK. Cảm ơn tiki 	0
test_0005	 Nhìn chung rất hài lòng! 	0
test_0006	 hàng đẹp, sx tại Thái nên rất tin tưởng.máy chạy êm, làm lạnh nhanh, có nhiều chế độ đchinh 	0
test_0007	 Máy khá đơn giản, mình không cần phải chỉnh gì (vì KTV sẽ chỉnh nhiệt độ trung bình nhà mong muốn), chỉ cần bật nguồn và sử dụng thôi nè 	0
test_0008	 Màn hình rất mướt, chụp ảnh khi có ánh sáng đầy đủ thì rất rõ nét. 	0
test_0009	 Mình chỉ mới nhận tủ, thích cách chăm sóc khách hàng cùa tiki. Giao nhanh và tận tâm 	0
test_0010	 Sản phẩm giống mo ta.giao hàng chi một ngày ở tỉnh.rat hài lòng 	0
test_0011	 Đã nhận hàng, sp có tiki now, giao nhanh, hàng nhận đc trong tình trạng nguyên seal, ko cấn móp kể cả từ hộp bao ngoài, máy đẹp, dùng tốt, bên trong hộp có ốp lưng, sạc nhanh, giá tốt. 	0
test_0012	 sản phẩm đóng gói chắc chắn. máy chạy êm, ổn định. làm lạnh nhanh. ngăn giữ tươi rất tiện lợi 	0
test_0013	 (5*) Máy chạy tốt, ít ồn. 	0
